Quarter,Population_Est
2000-01-01,76110034.9963376
2000-04-01,76530133.58185773
2000-07-01,76947087.90359956
2000-10-01,77363723.54270841
2001-01-01,77782485.442844
2001-04-01,78198315.84956826
2001-07-01,78611819.48424068
2001-10-01,79029734.88586277
2002-01-01,79443010.90598047
2002-04-01,79854988.39907193
2002-07-01,80268084.21930373
2002-10-01,80679651.83516952
2003-01-01,81090236.78675623
2003-04-01,81504397.30988102
2003-07-01,81912297.73462783
2003-10-01,82324971.42857143
2004-01-01,82733156.62947667
2004-04-01,83142476.5434959
2004-07-01,83548426.86076544
2004-10-01,83953602.90305857
2005-01-01,84360929.96881202
2005-04-01,84765612.54318362
2005-07-01,85174232.66795449
2005-10-01,85576506.44783118
2006-01-01,85982847.25136383
2006-04-01,86383827.64950246
2006-07-01,86787480.48547111
2006-10-01,87187040.02090319
2007-01-01,87590466.40238829
2007-04-01,87990065.62977614
2007-07-01,88387737.11794443
2007-10-01,88788787.16681519
2008-01-01,89185088.44285583
2008-04-01,89585865.1239937
2008-07-01,89981132.85272914
2008-10-01,90378068.49919154
2009-01-01,90772846.96740773
2009-04-01,91168307.93278624
2009-07-01,91562808.22741671
2009-10-01,91956355.14995298
2010-01-01,92352457.44149406
2010-04-01,92742346.21896163
2010-07-01,93134730.09794536
2010-10-01,93524933.70415886
2011-01-01,93915780.01437815
2011-04-01,94305228.27687776
2011-07-01,94696051.52027027
2011-10-01,95084123.54788548
2012-01-01,95471978.80578765
2012-04-01,95859834.98968686
2012-07-01,96245099.307757
2012-10-01,96631219.86975275
2013-01-01,97016777.78821173
2013-04-01,97403223.44750929
2013-07-01,97786128.37054434
2013-10-01,98170070.6991359
2014-01-01,98551914.46322785
2014-04-01,98933767.70233159
2014-07-01,99315758.55896173
2014-10-01,99695367.30319564
2015-01-01,99995064.68882445
2015-04-01,100412638.0590259
2015-07-01,100833482.4696982
2015-10-01,101259012.7307003
2016-01-01,101685745.96720965
2016-04-01,102107224.40849245
2016-07-01,102529420.68547164
2016-10-01,102944165.88206959
2017-01-01,103357021.41290689
2017-04-01,103759932.47045583
2017-07-01,104170315.22624171
2017-10-01,104567899.96925284
2018-01-01,104969079.02282372
2018-04-01,105358826.85187122
2018-07-01,105754817.94150251
2018-10-01,106142018.18284488
2019-01-01,106526905.92666349
2019-04-01,106906932.59257779
2019-07-01,107288016.25749241
2019-10-01,107661567.01625401
2020-01-01,108033402.41643883
2020-04-01,108402184.109879
2020-07-01,108772979.70126389
2020-10-01,109131892.92465293
2021-01-01,109498313.0409271
2021-04-01,109848140.47284801
2021-07-01,110199866.06318124
2021-10-01,110550190.38375393
