Sector,Year,January,February,March,April,May,June,July,August,September,October,November,December
Rice: Total Stock,1980,1885.3,1819,1815.6,1753.4,1812.9,1725.2,1575.2,1359.1,1197.6,1199.8,1468.60,1722.70
Rice: Total Stock,1981,1646.5,1452.8,1427.1,1543.9,1573.8,1428.3,1330.6,1103.2,1037.8,1050.8,1390.50,1657.10
Rice: Total Stock,1982,1611.2,1515.9,1494.2,1649.3,1758.6,1698.9,1519.7,1325.1,1149.8,1299.1,1737.60,1876.40
Rice: Total Stock,1983,1866.4,1712.9,1706.9,1825.9,1872.3,1754.1,1478,1172.2,912.9,763.9,1063.30,1543.70
Rice: Total Stock,1984,1491.3,1303.9,1170.9,1318,1482.2,1269.2,990.1,848.5,692.4,795.3,1004.50,1214.40
Rice: Total Stock,1985,1144.3,1004.5,919,1043,1113.1,1109.3,999.5,903.5,864.5,1045.8,1597.50,1853.50
Rice: Total Stock,1986,1754.5,1593.8,1541.9,1699.6,1771,1701.1,1541.2,1382.9,1251.9,1305,1738.50,1946.20
Rice: Total Stock,1987,2017.1,1724.4,1636.1,1741.9,1728.1,1669.3,1417.2,1135.6,923,927.7,1366.00,1617.10
Rice: Total Stock,1988,1575,1382.4,1418.9,1778,1669.8,1578.7,1230.8,1058.8,1012.3,1248.2,1548.00,1723.90
Rice: Total Stock,1989,1517.6,1292.1,1186.6,1320.3,1394.3,1192.7,1079.7,889.8,920.8,1213.2,1415.40,1517.00
Rice: Total Stock,1990,1689.5,1568,1560.5,1485.2,1612.9,1486.4,1366.6,1283.4,1180,1208.2,1729.60,2232.90
Rice: Total Stock,1991,1899.3,1739,1692.8,2011.7,2004.4,2125.4,1821.2,1560.1,1344.2,1445.2,1776.10,1970.00
Rice: Total Stock,1992,2120.4,1809.7,1693.2,1848.8,1772.3,1678.1,1627.2,1273.3,1057.4,948.5,1356.50,1550.00
Rice: Total Stock,1993,1673.1,1404.6,1211.6,1341.7,1451.4,1332.3,1368.9,1028.1,868.3,892.8,1250.00,1490.40
Rice: Total Stock,1994,1444.3,1157,1092.6,1362.4,1408.2,1353.6,1258,989.9,888.9,1076.9,1580.60,1706.50
Rice: Total Stock,1995,1497.8,1260.8,1120.1,1253,1321.5,1200.4,940.7,703.6,524.4,813.3,1365.10,1578.00
Rice: Total Stock,1996,1422.3,1309.1,1196.7,1522.5,1796.8,1726.7,1602.8,1269.2,1132.2,1327.1,1708.20,1968.60
Rice: Total Stock,1997,1793,1520.8,1412,1629.4,1962,1891.8,1819.4,1600.2,1352.6,1410.3,2059.90,2278.10
Rice: Total Stock,1998,1979.4,1871.1,1848.1,2221.7,2270.6,2119.5,1944.9,1723.8,1654.2,1710.7,2071.90,2413.60
Rice: Total Stock,1999,2279.3,2144.6,2160.7,2419.8,2710.9,2574.1,2381.1,2221.2,1886.1,2032.9,2440.90,2610.00
Rice: Total Stock,2000,2364.5,2042.3,1765.7,1874.9,2067,1835.9,1628.6,1373.8,1195,1485.1,2010.80,2277.60
Rice: Total Stock,2001,2166.1,1879.4,1837.8,2110.7,2263.3,2248,2034.9,1851.3,1719.3,1872.6,2594.40,2598.00
Rice: Total Stock,2002,2270.7,1975.2,1808.2,1997.2,2113.2,1788.9,1534.7,1313.4,1193.1,1508.2,2575.00,2676.00
Rice: Total Stock,2003,2448.1,2289.5,2068.5,2210.3,2390.8,2097.6,1806.1,1566.5,1399.6,1742.4,2525.00,2607.00
Rice: Total Stock,2004,2362.1,2068,1857.7,2147.4,2338.7,1880.1,1577.4,1340.8,1189.1,1559.5,2289.80,2404.50
Rice: Total Stock,2005,2050.9,1777.4,1455.6,1744.7,1999.2,1879.3,1638.2,1457.1,1308,1592.7,2255.30,2406.20
Rice: Total Stock,2006,2094.3,1885.9,1719.9,2192.9,2422.5,2217.3,1960.1,1754.2,1649.5,1825.3,2435.20,2580.40
Rice: Total Stock,2007,2253.1,1841.3,1588.6,1654.5,1893.5,1629.1,1529.1,1354.6,1135.8,1375.1,2038.30,2291.50
Rice: Total Stock,2008,2172.3,1834.9,1688.7,1891.4,2265.4,2209.5,2185.2,1902.1,1923.1,2177.1,2937.80,2954.10
Rice: Total Stock,2009,2638.6,2279,2167.7,2478.6,2683.9,2683.4,2776.3,2380.7,2322.2,2485.3,2958.60,2897.30
Rice: Total Stock,2010,2629.1,2463.3,2251.9,2773.4,3322,3357.7,3353.5,3184.2,3034,3151.1,3794.60,3908.00
Rice: Total Stock,2011,3424.3,3049.6,2853,3080.6,3396.5,3093.6,3021.8,2720.4,2415.2,2739.2,3216.80,3097.50
Rice: Total Stock,2012,2627.4,2331.4,2012.6,2637.8,2673.3,2287.31,1915.11,1616.6,1441.9,1999,2784.60,2613.20
